id,casetype,scheduledate,time,action,suggest,comment,iscompleted,customer_id,handledby_id,,
396,Filter replacement,2019-08-13,02:00:00,,,,1,13,2,,
397,Filter replacement,2019-08-13,02:00:00,,,,1,16,2,,
398,Filter replacement,2019-05-28,10:00:00,Replace sediment fitler,,Water is very dirty,1,84,3,,
399,Filter replacement,2019-04-09,10:00:00,,,,1,84,3,,
400,Installatoin,2018-10-29,10:00:00,,,,1,84,2,,
401,Filter replacement,2019-08-14,09:30:00,,,,1,207,2,,
402,Urgent Repair,2019-08-15,10:00:00,Water Leak,Filter O-Ring 有事,,1,207,2,,
403,Urgent Repair,2019-08-14,02:00:00,Low water flow,,,1,84,2,,
404,Filter replacement,2019-08-14,10:00:00,,,,1,622,2,,
405,Filter replacement,2019-08-14,02:00:00,,,,1,400,2,,
406,Filter replacement,2019-08-14,02:00:00,,,,1,574,2,,
407,Filter replacement,2019-08-14,03:00:00,,,,1,568,2,,
408,Filter replacement,2019-08-15,10:00:00,,,,1,257,3,,
409,Filter replacement,2019-08-15,11:00:00,,,,1,190,3,,
410,Filter replacement,2019-08-15,03:00:00,,,,1,129,3,,
411,Filter replacement,2019-08-15,02:00:00,,,,1,316,3,,
412,Filter replacement,2019-08-16,10:00:00,,,,1,575,2,,
413,Filter replacement,2019-08-16,02:00:00,,,,1,527,3,,
414,Filter replacement,2019-08-16,11:00:00,,,,1,290,3,,
415,Filter replacement,2019-08-16,11:00:00,,,,1,533,3,,
416,Urgent Repair,2019-08-16,02:00:00,,,控制室熱水安全制有問題,1,432,2,,
417,Urgent Repair,2019-08-15,10:00:00,,,漏水,1,207,2,,
418,Filter replacement,2019-08-15,10:00:00,,,,1,131,2,,
419,Filter replacement,2019-08-16,02:00:00,,,,1,261,2,,
420,Urgent Repair,2019-08-16,04:00:00,,,,1,605,2,,
421,Urgent Repair,2019-08-19,11:00:00,,,爛凍水制,1,414,2,,
422,Urgent Repair,2019-08-19,10:00:00,,,運動場對出水機換凍水制,1,418,2,,
423,Urgent Repair,2019-08-19,10:00:00,,,凍水唔凍,1,268,2,,
